desc,link,title
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - A directory of free Python and Zope hosting providers, with reviews and ratings.\n                    \n                ']",[u'http://www.oinko.net/freepython/'],[u'Free Python and Zope Hosting Directory']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Features Python books, resources, news and articles.\n                    \n                ']",[u'http://oreilly.com/python/'],"[u""O'Reilly Python Center""]"
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Resources for reporting bugs, accessing the Python source tree with CVS and taking part in the development of Python.\n                    \n                ']",[u'http://www.python.org/dev/'],"[u""Python Developer's Guide""]"
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Scripts, examples and news about Python programming for the Windows platform.\n                    \n                ']",[u'http://win32com.goermezer.de/'],[u'Social Bug']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Contains links to assorted resources from the Python universe, compiled by PythonWare.\n                    \n                ']",[u'http://www.pythonware.com/daily/'],"[u""eff-bot's Daily Python URL""]"
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161769. Printed edition of official tutorial, for v2.x, from Python.org. [Network Theory, online]\n                    \n                ']",[u'http://www.network-theory.co.uk/python/intro/'],[u'An Introduction to Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Wesley J. Chun; Prentice Hall PTR, 2001, ISBN 0130260363. For experienced developers to improve extant skills; professional level examples. Starts by introducing syntax, objects, error handling, functions, classes, built-ins. [Prentice Hall]\n                    \n                ']","[u'http://www.pearsonhighered.com/educator/academic/product/0,,0130260363,00%2Ben-USS_01DBC.html']",[u'Core Python Programming']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - The primary goal of this book is to promote object-oriented design using Python and to illustrate the use of the emerging object-oriented design patterns.\r\nA secondary goal of the book is to present mathematical tools just in time. Analysis techniques and proofs are presented as needed and in the proper context.\n                    \n                ']",[u'http://www.brpreiss.com/books/opus7/html/book.html'],[u'Data Structures and Algorithms with Object-Oriented Design Patterns in Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Mark Pilgrim; 2000-2002. For experienced programmers. Starts with example code, overview, then HTML, XML, unit and regression tests. Downloads: txt, XML, PDF, HTML, MS Word, Win Help. Chinese, Korean, Espa\xf1ol, Fran\xe7ais; Russian. [GNU Free Documentation]\n                    \n                ']",[u'http://diveintopython.org/'],[u'Dive Into Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Mark Pilgrim, Guide to Python 3  and its differences from Python 2. Each chapter starts with a real code sample and explains it fully. Has a comprehensive appendix of all the syntactic and semantic changes in Python 3\r\n\r\n\n                    \n                ']",[u'http://diveintopython3.org/'],[u'Dive Into Python 3']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - This book covers a wide range of topics. From raw TCP and UDP to encryption with TSL, and then to HTTP, SMTP, POP, IMAP, and ssh. It gives you a good understanding of each field and how to do everything on the network with Python.\n                    \n                ']",[u'http://rhodesmill.org/brandon/2011/foundations-of-python-network-programming/'],[u'Foundations of Python Network Programming']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Free Python books and tutorials.\n                    \n                ']",[u'http://www.techbooksforfree.com/perlpython.shtml'],[u'Free Python books']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Annotated list of free online books on Python scripting language. Topics range from beginner to advanced.\n                    \n                ']",[u'http://www.freetechbooks.com/python-f6.html'],[u'FreeTechBooks: Python Scripting Language']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Allen B. Downey, Jeffrey Elkner, Chris Meyers; Green Tea Press, 2002, ISBN 0971677506. Teaches general principles of programming, via Python as subject language. Thorough, in-depth approach to many basic and intermediate programming topics. Full text online and downloads: HTML, PDF, PS, LaTeX. [Free, Green Tea Press]\n                    \n                ']",[u'http://greenteapress.com/thinkpython/'],[u'How to Think Like a Computer Scientist: Learning with Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Book by Alan Gauld with full text online. Introduction for those learning programming basics: terminology, concepts, methods to write code. Assumes no prior knowledge but basic computer skills.\n                    \n                ']",[u'http://www.freenetpages.co.uk/hp/alan.gauld/'],[u'Learn to Program Using Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Rashi Gupta; John Wiley and Sons, 2002, ISBN 0471219754. Covers language basics, use for CGI scripting, GUI development, network programming; shows why it is one of more sophisticated of popular scripting languages. [Wiley]\n                    \n                ']",[u'http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471219754.html'],[u'Making Use of Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Rytis Sileika, ISBN13: 978-1-4302-2605-5,  Uses real-world system administration examples like manage devices with SNMP and SOAP, build a distributed monitoring system, manage web applications and parse complex log files, monitor and manage MySQL databases.\r\n\n                    \n                ']",[u'http://www.sysadminpy.com/'],[u'Pro Python System Administration']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - A Complete Introduction to the Python 3.\n                    \n                ']",[u'http://www.qtrac.eu/py3book.html'],[u'Programming in Python 3 (Second Edition)']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Dave Brueck, Stephen Tanner; John Wiley and Sons, 2001, ISBN 0764548077. Full coverage, clear explanations, hands-on examples, full language reference; shows step by step how to use components, assemble them, form full-featured programs. [John Wiley and Sons]\n                    \n                ']",[u'http://www.wiley.com/WileyCDA/WileyTitle/productCd-0764548077.html'],[u'Python 2.1 Bible']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - A step-by-step tutorial for OOP in Python 3, including discussion and examples of abstraction, encapsulation, information hiding, and raise, handle, define, and manipulate exceptions.\n                    \n                ']",[u'https://www.packtpub.com/python-3-object-oriented-programming/book'],[u'Python 3 Object Oriented Programming']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161785. Printed edition of official language reference, for v2.x, from Python.org, describes syntax, built-in datatypes. [Network Theory, online]\n                    \n                ']",[u'http://www.network-theory.co.uk/python/language/'],[u'Python Language Reference Manual']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Thomas W. Christopher; Prentice Hall PTR, 2002, ISBN 0130409561. Shows how to write large programs, introduces powerful design patterns that deliver high levels of robustness, scalability, reuse.\n                    \n                ']","[u'http://www.pearsonhighered.com/educator/academic/product/0,,0130409561,00%2Ben-USS_01DBC.html']",[u'Python Programming Patterns']
"[u'\n\t\t\t\n                \t', u"" \n\t\t\t\n\t\t\t\t\t\n                    - By Richard Hightower; Addison-Wesley, 2002, 0201616165. Begins with Python basics, many exercises, interactive sessions. Shows programming novices concepts and practical methods. Shows programming experts Python's abilities and ways to interface with Java APIs. [publisher website]\n                    \n                ""]",[u'http://www.informit.com/store/product.aspx?isbn=0201616165&redir=1'],[u'Python Programming with the Java Class Libraries: A Tutorial for Building Web and Enterprise Applications with Jython']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Chris Fehily; Peachpit Press, 2002, ISBN 0201748843. Task-based, step-by-step visual reference guide, many screen shots, for courses in digital graphics; Web design, scripting, development; multimedia, page layout, office tools, operating systems. [Prentice Hall]\n                    \n                ']","[u'http://www.pearsonhighered.com/educator/academic/product/0,,0201748843,00%2Ben-USS_01DBC.html']",[u'Python: Visual QuickStart Guide']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Ivan Van Laningham; Sams Publishing, 2000, ISBN 0672317354. Split into 24 hands-on, 1 hour lessons; steps needed to learn topic: syntax, language features, OO design and programming, GUIs (Tkinter), system administration, CGI. [Sams Publishing]\n                    \n                ']",[u'http://www.informit.com/store/product.aspx?isbn=0672317354'],[u'Sams Teach Yourself Python in 24 Hours']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By David Mertz; Addison Wesley. Book in progress, full text, ASCII format. Asks for feedback. [author website, Gnosis Software, Inc.]\n                    \n                ']",[u'http://gnosis.cx/TPiP/'],[u'Text Processing in Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Sean McGrath; Prentice Hall PTR, 2000, ISBN 0130211192, has CD-ROM. Methods to build XML applications fast, Python tutorial, DOM and SAX, new Pyxie open source XML processing library. [Prentice Hall PTR]\n                    \n                ']",[u'http://www.informit.com/store/product.aspx?isbn=0130211192'],[u'XML Processing with Python']
